gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,144,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,13.7646,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.015,197.46,1531.92
gfx950,256,160,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.1371,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0151,199.5,1409.25
gfx950,256,176,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,15.3754,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0154,216.05,1403.39
gfx950,256,192,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5136,3,15.654,flydsl_hgemm_abf16_wbf16_bf16_t64x64x128x3_ks3_w2x4x1_bias0_ktail0_gm0_pft_gfx950,0.0098,231.5,1394.12
gfx950,256,208,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5794,4,16.46,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0129,238.51,1340.78
gfx950,256,224,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5794,4,16.8209,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.013,251.35,1326.62
gfx950,256,240,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5514,4,17.442,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks4_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0207,259.71,1293.47
gfx950,256,256,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5467,4,18.0304,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks4_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0206,267.98,1264.89
gfx950,256,512,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3770,2,25.4283,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks2_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0136,380.04,1051.53
gfx950,256,16,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,623,4,10.2557,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x5_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0126,58.89,3709.51
gfx950,256,32,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2805,4,11.5774,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x7_ks4_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0128,104.34,3311.5
gfx950,256,64,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5483,4,14.1936,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x8_ks4_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0126,170.21,2742.67
gfx950,256,80,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.831,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0153,190.76,2477.63
gfx950,256,96,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,16.3874,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0155,221.14,2411.5
gfx950,256,112,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4952,3,17.5288,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks3_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0101,241.19,2271.3
gfx950,256,128,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4857,3,18.2472,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks3_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0101,264.8,2198.04
gfx950,256,144,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4427,4,19.8828,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x5_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0128,273.39,2032.06
gfx950,256,160,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5361,4,21.0598,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.013,286.79,1932.49
gfx950,256,176,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3989,2,21.7985,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks2_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0058,304.78,1880.53
gfx950,256,192,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3931,2,22.5766,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks2_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0058,321.03,1828.78
gfx950,256,208,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4004,2,23.6889,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x4_ks2_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0135,331.45,1755.36
gfx950,256,224,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4004,2,24.3632,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x4_ks2_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0135,347.07,1718.88
gfx950,256,240,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3893,2,25.1567,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks2_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0136,360.13,1676.39
gfx950,256,256,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3770,2,25.9577,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks2_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0135,372.29,1636.02
gfx950,256,512,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2351,1,35.9095,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks1_w2x2x2_bias0_ktail0_gm4_pft_gfx950,0.0057,538.22,1314.02
gfx950,256,16,4608,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,547,6,13.3098,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks6_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0183,68.07,4280.09
gfx950,256,32,4608,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1888,6,14.7929,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x3_ks6_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.018,122.49,3874.24
gfx950,256,48,4608,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5297,4,16.6341,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0128,163.39,3466.09
gfx950,256,64,4608,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1282,2,17.6405,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x3_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0057,205.43,3287.85
gfx950,256,80,4608,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5222,3,20.0425,flydsl_hgemm_abf16_wbf16_bf16_t96x64x128x3_ks3_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0181,226.01,2910.99
gfx950,256,128,4608,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3856,2,23.0063,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks2_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0058,315.03,2580.84
gfx950,256,16,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,537,6,14.12,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks6_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0177,69.51,4369.55
gfx950,256,32,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1846,6,15.4908,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x3_ks6_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0182,126.72,4005.89
gfx950,256,48,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2596,4,17.3179,flydsl_hgemm_abf16_wbf16_bf16_t48x96x64x4_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.013,170.02,3603.83
gfx950,256,64,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4263,3,18.6442,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks3_w2x4x1_bias0_ktail0_gm0_pft_gfx950,0.0104,210.57,3366.58
gfx950,256,80,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4693,3,20.6214,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x5_ks3_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0104,237.97,3061.07
gfx950,256,96,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,790,3,22.2531,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x5_ks3_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0102,264.63,2852.63
gfx950,256,112,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,830,3,23.7867,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x6_ks3_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0103,288.83,2683.69
gfx950,256,128,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,620,3,25.3454,flydsl_hgemm_abf16_wbf16_bf16_t128x64x128x3_ks3_w4x1x2_bias0_ktail0_gm0_pft_gfx950,0.018,309.79,2532.71
gfx950,256,256,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,102,3,36.7301,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x3_ks3_w4x4x1_bias0_ktail0_gm0_pft_gfx950,0.01,427.54,1825.3
gfx950,256,16,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.5675,auto,0.0,36.16,2301.26
gfx950,256,32,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,987,1,6.0035,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,67.07,2172.34
gfx950,256,48,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2342,1,6.6068,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,91.42,2008.69
